,,,,
,Grid Array Position,,Chess Board Position,
,x,y,x,y
,0,0,A,8
,0,1,A,7
,0,2,A,6
,0,3,A,5
,0,4,A,4
,0,5,A,3
,0,6,A,2
,0,7,A,1
,1,0,B,8
,1,1,B,7
,1,2,B,6
,1,3,B,5
,1,4,B,4
,1,5,B,3
,1,6,B,2
,1,7,B,1
,2,0,C,8
,2,1,C,7
,2,2,C,6
,2,3,C,5
,2,4,C,4
,2,5,C,3
,2,6,C,2
,2,7,C,1
,3,0,D,8
,3,1,D,7
,3,2,D,6
,3,3,D,5
,3,4,D,4
,3,5,D,3
,3,6,D,2
,3,7,D,1
,4,0,E,8
,4,1,E,7
,4,2,E,6
,4,3,E,5
,4,4,E,4
,4,5,E,3
,4,6,E,2
,4,7,E,1
,5,0,F,8
,5,1,F,7
,5,2,F,6
,5,3,F,5
,5,4,F,4
,5,5,F,3
,5,6,F,2
,5,7,F,1
,6,0,G,8
,6,1,G,7
,6,2,G,6
,6,3,G,5
,6,4,G,4
,6,5,G,3
,6,6,G,2
,6,7,G,1
,7,0,H,8
,7,1,H,7
,7,2,H,6
,7,3,H,5
,7,4,H,4
,7,5,H,3
,7,6,H,2
,7,7,H,1